id,title,price,base_price,original_price,initial_quantity,buying_mode,listing_type_id,condition,accepts_mercadopago,shipping_mode,local_pick_up,free_shipping,logistic_type,store_pick_up,city_name,state_name,country_name,status,warranty,date_created,last_updated,health
MLA1275869904,Amazon Fire Tv Stick Lite De Voz Full Hd 8gb + Fuente 220v!,72490,72490,,168,buy_it_now,gold_special,new,True,me2,True,True,xd_drop_off,False,Temperley,Buenos Aires,Argentina,active,Garantía de fábrica: 6 meses,2022-12-07T17:59:26.000Z,2024-10-08T21:24:57.066Z,0.9
MLA876770571,Xiaomi Mi Tv Stick Full Hd 8gb Con Control Color Negro,113000,113000,,129,buy_it_now,gold_pro,new,True,me2,False,True,xd_drop_off,False,Monserrat,Capital Federal,Argentina,active,Garantía del vendedor: 6 meses,2020-09-04T15:34:49.000Z,2024-10-16T14:14:11.795Z,
MLA1787834792,Amazon Fire Tv Stick Lite- De Voz 2.ª Generación Full Hd ,76990,76990,,12,buy_it_now,gold_special,new,True,me2,False,True,xd_drop_off,False,Córdoba,Córdoba,Argentina,active,Garantía del vendedor: 1 meses,2024-05-27T18:17:27.444Z,2024-10-03T06:50:00.176Z,0.8
MLA1398832615,Google Home Mini Con Asistente Virtual Bluetooth Ref,89990,89990,,999,buy_it_now,gold_pro,new,True,me2,False,True,cross_docking,False,Paternal,Capital Federal,Argentina,active,Garantía del vendedor: 3 meses,2023-12-12T20:15:46.000Z,2024-09-29T03:37:19.135Z,0.9
MLA1512658554,Pendoo X10 Plus Smart 32gb 4gb,130000,130000,,12,buy_it_now,gold_special,new,True,me2,True,True,xd_drop_off,False,San Isidro,Buenos Aires,Argentina,active,Garantía del vendedor: 30 días,2023-09-20T17:18:28.000Z,2024-10-15T15:07:30.144Z,
MLA1376700509,Amazon Fire Tv Stick 4k 8gb  1.5gb Ram Streaming Control Voz,78800,78800,,49,buy_it_now,gold_special,new,True,me2,True,True,cross_docking,False,San Cristóbal,Capital Federal,Argentina,active,Garantía del vendedor: 6 meses,2023-07-11T18:29:11.000Z,2024-10-16T06:59:23.021Z,0.9
MLA1451784141,Apple Tv A1427 1a Gen. Negro / Full Hd Impecable!!,45000,45000,,1,buy_it_now,gold_special,used,True,me2,False,False,drop_off,False,Godoy Cruz,Mendoza,Argentina,active,Sin garantía,2024-09-23T21:27:23.215Z,2024-09-23T21:27:26.076Z,0.75
MLA1745935346,Kanji Fag-kj-smart4kvip Tv Box 4gb Ram 32gb Color Negro,59990.0,59990.0,,299,buy_it_now,gold_special,new,True,me2,True,True,cross_docking,False,Monte Castro,Capital Federal,Argentina,active,Garantía de fábrica: 6 meses,2024-04-19T20:56:40.000Z,2024-10-16T14:12:27.693Z,
MLA1926953426,Convertidor Smart Tv Box Noga Pc Ultra Estándar 4k 8gb Negro Con 1gb De Memoria Ram,51907,51907,,65,buy_it_now,gold_special,new,True,me2,False,True,drop_off,False,Bermejo,Mendoza,Argentina,active,Sin garantía,2024-10-03T23:09:38.131Z,2024-10-16T10:33:17.604Z,
MLA1890470052,Amazon Fire Tv Stick Lite- De Voz 2.ª Generación Full Hd Neg,79315.0,79315.0,,48,buy_it_now,gold_special,new,True,me2,True,True,xd_drop_off,False,Córdoba,Córdoba,Argentina,active,Garantía del vendedor: 3 meses,2024-08-22T14:38:19.524Z,2024-10-15T16:40:42.100Z,0.9
MLA1794555584,Apple Tv A1427 3.ª Generación Full Hd,80000,80000,,1,buy_it_now,gold_special,used,True,me2,False,False,xd_drop_off,False,Lanús,Buenos Aires,Argentina,active,Sin garantía,2024-06-01T16:57:34.286Z,2024-10-10T13:31:34.537Z,0.62
MLA1418310733,Google Chromecast 4ta Genereación Con Google Tv Hd - Blanco,99870,99870,,142,buy_it_now,gold_special,new,True,me2,True,True,cross_docking,False,San Cristóbal,Capital Federal,Argentina,active,Garantía del vendedor: 6 meses,2024-03-28T19:29:24.000Z,2024-10-16T14:42:21.934Z,0.9
MLA1436028141, Apple Tv A1427  8gb Negro  512mb Ram ,46000,46000,,1,buy_it_now,gold_special,used,True,me2,False,False,xd_drop_off,False,Belgrano,Capital Federal,Argentina,active,Sin garantía,2024-07-04T15:57:23.000Z,2024-10-15T08:53:16.140Z,0.62
MLA1444271731,Apple Tv A1427 2da Generación,35000,35000,,1,buy_it_now,gold_special,used,True,me2,True,False,xd_drop_off,False,Villa del Parque,Capital Federal,Argentina,active,Sin garantía,2024-08-19T00:12:29.963Z,2024-10-14T22:34:34.373Z,0.55
MLA1594852796, Apple Tv 4k A2169 De Voz 2.ª Generación 2021 4k 64gb Negro,22222222,22222222,,1,buy_it_now,gold_special,new,True,me2,False,True,drop_off,False,Almagro,Capital Federal,Argentina,active,Garantía del vendedor: 1 meses,2023-12-11T06:36:05.000Z,2024-10-09T12:21:41.036Z,
MLA930506223,Soporte Montaje Embutido Pared Google Home Hub Mountgenie,19900,19900,,50,buy_it_now,gold_special,new,True,me2,True,False,xd_drop_off,False,Caballito,Capital Federal,Argentina,active,Garantía del vendedor: 2 años,2021-07-22T21:07:44.000Z,2024-09-26T13:15:51.557Z,0.8
MLA1389268423,Onn Google Tv Uhd 4k 8gb 2gb Ram Hdmi Control Remoto + Voz ,69990,69990,73895.62,79,buy_it_now,gold_special,new,True,me2,True,True,cross_docking,False,Balvanera,Capital Federal,Argentina,active,Garantía del vendedor: 6 meses,2023-09-21T17:22:41.000Z,2024-10-16T02:07:59.842Z,0.9
